solve_id,solve_type,method,warm_start,min_search_proportion,threshold_proportion,remove_constraints,sub_solve_id,n,p,q,cut_type,cut_value,cuts_sought,cuts_added,cuts_removed,search_proportion_used,current_threshold,variables,constraints,cpu_time,act_tol,removal_method
10,iterative,auto,warm,1,0.0,True,36,100,0.5,0.2,fixed,1000,1000,1000,899.0,1,,4950,5579,30.790593986999742,0.0001,dual_0_once
10,iterative,auto,warm,1,0.0,True,37,100,0.5,0.2,fixed,1000,1000,388,913.0,1,,4950,5054,28.182159809999572,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,0,100,0.5,0.2,fixed,1000,100,100,0.0,1,,4950,101,0.010360494999986258,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,1,100,0.5,0.2,fixed,1000,1000,1000,100.0,1,,4950,1001,0.04356205600015528,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,2,100,0.5,0.2,fixed,1000,1000,1000,1000.0,1,,4950,1001,0.033831959999588435,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,3,100,0.5,0.2,fixed,1000,1000,1000,1000.0,1,,4950,1001,0.03473604600003455,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,4,100,0.5,0.2,fixed,1000,1000,1000,551.0,1,,4950,1450,0.05340746600086277,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,5,100,0.5,0.2,fixed,1000,1000,1000,397.0,1,,4950,2053,0.0943408040002396,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,6,100,0.5,0.2,fixed,1000,1000,1000,467.0,1,,4950,2586,0.15040713700000194,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,7,100,0.5,0.2,fixed,1000,1000,1000,702.0,1,,4950,2884,0.1761721700004273,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,8,100,0.5,0.2,fixed,1000,1000,1000,811.0,1,,4950,3073,0.2352913079994323,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,9,100,0.5,0.2,fixed,1000,1000,1000,825.0,1,,4950,3248,0.4095279529992695,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,10,100,0.5,0.2,fixed,1000,1000,1000,818.0,1,,4950,3430,0.4785520770001313,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,11,100,0.5,0.2,fixed,1000,1000,1000,833.0,1,,4950,3597,0.8873874700002489,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,12,100,0.5,0.2,fixed,1000,1000,1000,846.0,1,,4950,3751,1.6265417630002048,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,13,100,0.5,0.2,fixed,1000,1000,1000,872.0,1,,4950,3879,3.0040998429994943,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,14,100,0.5,0.2,fixed,1000,1000,1000,864.0,1,,4950,4015,3.9598521700008864,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,15,100,0.5,0.2,fixed,1000,1000,1000,836.0,1,,4950,4179,5.434859650000362,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,16,100,0.5,0.2,fixed,1000,1000,1000,845.0,1,,4950,4334,8.727672058999815,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,17,100,0.5,0.2,fixed,1000,1000,1000,864.0,1,,4950,4470,11.781161034999966,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,18,100,0.5,0.2,fixed,1000,1000,1000,825.0,1,,4950,4645,15.633336228998814,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,19,100,0.5,0.2,fixed,1000,1000,1000,825.0,1,,4950,4820,18.53330356799961,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,20,100,0.5,0.2,fixed,1000,1000,1000,897.0,1,,4950,4923,21.40883651799959,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,21,100,0.5,0.2,fixed,1000,1000,1000,902.0,1,,4950,5021,24.160805417001033,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,22,100,0.5,0.2,fixed,1000,1000,1000,921.0,1,,4950,5100,24.5760313259998,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,23,100,0.5,0.2,fixed,1000,1000,1000,947.0,1,,4950,5153,28.286653847000707,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,24,100,0.5,0.2,fixed,1000,1000,1000,929.0,1,,4950,5224,31.07795650499975,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,25,100,0.5,0.2,fixed,1000,1000,1000,953.0,1,,4950,5271,32.702827406001234,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,26,100,0.5,0.2,fixed,1000,1000,1000,961.0,1,,4950,5310,35.098629883001195,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,27,100,0.5,0.2,fixed,1000,1000,1000,956.0,1,,4950,5354,32.32697832300073,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,28,100,0.5,0.2,fixed,1000,1000,1000,985.0,1,,4950,5369,30.22853306099932,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,29,100,0.5,0.2,fixed,1000,1000,1000,963.0,1,,4950,5406,26.5402963939996,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,30,100,0.5,0.2,fixed,1000,1000,1000,1045.0,1,,4950,5361,25.764552259999622,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,31,100,0.5,0.2,fixed,1000,1000,1000,992.0,1,,4950,5369,25.227426692999874,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,32,100,0.5,0.2,fixed,1000,1000,1000,939.0,1,,4950,5430,25.93009714999971,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,33,100,0.5,0.2,fixed,1000,1000,960,929.0,1,,4950,5461,27.71784250500059,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,34,100,0.5,0.2,fixed,1000,1000,582,867.0,1,,4950,5176,23.410570505002397,0.0001,dual_0_once
11,iterative,auto,warm,1,0.0,True,35,100,0.5,0.2,fixed,1000,1000,194,489.0,1,,4950,4881,24.549983525001153,0.0001,dual_0_once
